,degree_centrality,clustering_coefficient,avg_neg_sent,avg_pos_sent,avg_sent
count,825.0,825.0,825.0,825.0,825.0
mean,0.0019615443777880326,0.40844444121212126,-1.1775078542954398,1.2138161548164859,0.01815415026052307
std,0.0012831011874901964,0.4831966858418629,0.5053355176163488,0.47302199221304814,0.19597969046001967
min,0.0010152284263959391,0.0,-5.0,0.0,-1.5
25%,0.0010152284263959391,0.0,-1.3333333333333333,1.0823529411764705,-0.026717557251908396
50%,0.0010152284263959391,0.0,-1.165929203539823,1.2173913043478262,0.0
75%,0.0020304568527918783,1.0,-1.0,1.4137931034482758,0.06666666666666667
max,0.005076142131979696,1.0,0.0,3.0,1.0
