138132833 410479706 {}
138132833 663708266 {}
138132833 1687238 {}
548956309 310728994 {}
112948287 15230206 {}
112948287 16455428 {}
542742813 10868827 {}
542742813 392302633 {}
542742813 211984270 {}
542742813 131604562 {}
542742813 13350023 {}
542742813 4121875 {}
542742813 497551446 {}
542742813 176703948 {}
542742813 653973289 {}
542742813 106415642 {}
542742813 157242886 {}
542742813 586119780 {}
542742813 55802406 {}
542742813 684205582 {}
542742813 194132320 {}
542742813 170624629 {}
542742813 472409987 {}
542742813 455831701 {}
542742813 220766001 {}
542742813 180595174 {}
542742813 194528875 {}
542742813 24742132 {}
542742813 588822672 {}
542742813 77245909 {}
542742813 183241328 {}
542742813 139184559 {}
542742813 190606532 {}
542742813 526863375 {}
542742813 263878031 {}
542742813 596517124 {}
542742813 348199600 {}
542742813 327708728 {}
542742813 593782956 {}
542742813 525174628 {}
542742813 57013724 {}
432020129 388985167 {}
209021775 89926630 {}
209021775 588647833 {}
209021775 350466245 {}
234967678 66444952 {}
234967678 10471369 {}
5910319 2291691 {}
5910319 1443535 {}
5910319 590457 {}
5910319 21637023 {}
5910319 6109379 {}
5910319 87901084 {}
5910319 2005412 {}
5910319 9911545 {}
250079162 7155241 {}
66741943 453124348 {}
66741943 607231719 {}
66741943 580467186 {}
66741943 207775968 {}
66741943 412827634 {}
66741943 3700559 {}
66741943 179215583 {}
66741943 186225031 {}
66741943 332325436 {}
66741943 389653187 {}
66741943 590457 {}
66741943 294900665 {}
66741943 70269118 {}
66741943 156323359 {}
66741943 202509686 {}
66741943 104035430 {}
66741943 55802406 {}
66741943 155640872 {}
66741943 2180825 {}
66741943 174961774 {}
66741943 8379667 {}
66741943 24075953 {}
66741943 5362738 {}
66741943 140190177 {}
66741943 21580231 {}
66741943 180595174 {}
66741943 574387000 {}
66741943 556603159 {}
66741943 435627908 {}
66741943 596588654 {}
66741943 393406653 {}
66741943 211934633 {}
66741943 432586211 {}
66741943 660084241 {}
66741943 285380698 {}
66741943 207989401 {}
66741943 34942485 {}
66741943 71817864 {}
66741943 120642648 {}
66741943 649013871 {}
66741943 169740372 {}
66741943 177699 {}
66741943 607748071 {}
66741943 422720659 {}
66741943 7378060 {}
66741943 59692000 {}
66741943 18388903 {}
66741943 16962259 {}
66741943 32022786 {}
66741943 440828800 {}
66741943 92610867 {}
66741943 302854582 {}
66741943 586767236 {}
66741943 20392363 {}
66741943 4229064 {}
66741943 40642872 {}
66741943 708282915 {}
66741943 2682374 {}
66741943 250963084 {}
66741943 322221323 {}
66741943 548728310 {}
66741943 358159698 {}
66741943 7234502 {}
66741943 618940861 {}
66741943 166507741 {}
66741943 573614423 {}
66741943 168713492 {}
66741943 263878031 {}
66741943 276826951 {}
66741943 507447859 {}
66741943 224010810 {}
66741943 377546837 {}
66741943 133931523 {}
66741943 8359969 {}
66741943 102208544 {}
66741943 9382062 {}
66741943 10936659 {}
66741943 234717132 {}
66741943 15334133 {}
66741943 407246895 {}
66741943 6844403 {}
66741943 32575163 {}
66741943 207524389 {}
66741943 13584689 {}
66741943 143751214 {}
66741943 500329388 {}
66741943 390983461 {}
66741943 708231912 {}
66741943 11298783 {}
66741943 24102453 {}
66741943 693574394 {}
66741943 13991787 {}
66741943 284878581 {}
66741943 171236769 {}
66741943 627147704 {}
66741943 396386882 {}
66741943 9850770 {}
66741943 298367792 {}
66741943 721647513 {}
66741943 18283161 {}
66741943 708115320 {}
66741943 486019282 {}
66741943 444983632 {}
66741943 6687798 {}
66741943 516423561 {}
